Policy,Year,Country,Policy_Content,URL,Subject,Document_Type,Keyword,Geographical_area,Entry into force notes,Source
Decreto Supremo Nº 4857 -  Organización del órgano ejecutivo.,2023,Bolivia (Plurinational State of),"El presente Decreto Supremo tiene por objeto establecer la estructura organizativa del Órgano Ejecutivo del Estado Plurinacional de Bolivia, las atribuciones de la Presidenta o Presidente, Vicepresidenta o Vicepresidente y de las Ministras y Ministros, así como definir los principios y valores que deben conducir a las servidoras y servidores públicos, de conformidad a lo establecido en la Constitución Política del Estado.",https://www.ecolex.org/details/legislation/decreto-supremo-no-4857-organizacion-del-organo-ejecutivo-lex-faoc218353/?type=legislation&xsubjects=Mineral+resources&page=69,"Agricultural & rural development, Energy, Environment gen., Land & soil, Mineral resources, Water, General",Regulation,"Governance, Institution","Amazonia, Americas, Andean States, Landlocked Developing Nations, Latin America and the Caribbean, South America",,ECOLEX_Legislation
Regulation amending the Regulation on the implementation of Law No. 6306 on restructuring of areas under risk of natural disasters.,2023,Türkiye,This Regulation makes amendments in the principal Regulation by inserting paragraph 4 into Article 4 regarding the determination of the reserve building area; inserting subparagraph (b) into Article 5 regarding the determination of areas under risk; amending Article 12 regarding the standards of valuation of real estate; and amending Article 15 regarding the conditions for the issuance of contruction permit for the areas that must be abandoned according to the zoning plan. Annex-1 and Annex-3 of the principal Regulation are amended as attached and Annex-4 and Annex-5 are inserted into the same Regulation.,https://www.ecolex.org/details/legislation/regulation-amending-the-regulation-on-the-implementation-of-law-no-6306-on-restructuring-of-areas-under-risk-of-natural-disasters-lex-faoc222893/?type=legislation&xsubjects=Mineral+resources&page=70,"Environment gen., Land & soil",Regulation,"Hazards, Risk assessment/management, Urban land, Certification, Land valuation, Ownership, Private land, Standards","Asia, Black Sea, Europe, Europe and Central Asia, Mediterranean, Middle East, Western Asia",This Regulation enters into force on the day it is published in the Official Gazette.,ECOLEX_Legislation
Law No. 4.131 creating the Climate Fund of the State of Tocantins (FunClima).,2023,Brazil,"This Law creates the Climate Fund of the State of Tocantins (FunClima), linked to the Secretariat for the Environment and Water Resources. The Fund aims to provide financial resources to support projects, programmes and actions focused at mitigating climate change and adapting to climate change and its effects. FunClima will be managed by the Board of Directors, which, under the presidency of the Secretariat for the Environment and Water Resources, is made up of seven representatives from public authorities and six representatives from civil society. The Board of Directors will have its competencies and specific composition established in regulation, ensuring the participation of representatives from public authorities, private initiatives, the academic community and representatives of indigenous peoples, traditional peoples and communities and family farmers (PIPCTAF). ​",https://www.ecolex.org/details/legislation/law-no-4131-creating-the-climate-fund-of-the-state-of-tocantins-funclima-lex-faoc223043/?type=legislation&xsubjects=Mineral+resources&page=70,Air & atmosphere,Legislation,"Special fund, Climate change, Enforcement/compliance, Legal proceedings/administrative proceedings, Research","Amazonia, Americas, Latin America and the Caribbean, North Atlantic, South America, South Atlantic",This Law enters into force on the day of its publication.,ECOLEX_Legislation
Law No. 4.111 creating the State Policy for Environmental Services Payment (PEPSA).,2023,Brazil,"This Law establishes the State Policy for Payment for Environmental Services (PEPSA) in the biomes of the State of Tocantins and defines the respective concepts, objectives and principles for its implementation. This Law applies to individuals or legal entities, under public or private law; occurs in a coordinated manner with other sectoral and environmental policies, in particular with those established in Federal Laws No. 14.119 of 13 January 2021, No. 12.187 of 29 December 2009 and State Law No. 1.917 of 17 April 2008.",https://www.ecolex.org/details/legislation/law-no-4111-creating-the-state-policy-for-environmental-services-payment-pepsa-lex-faoc223044/?type=legislation&xsubjects=Mineral+resources&page=70,"Environment gen., Water",Legislation,"Environmental planning, Environmental fees/charges, Water quality standards, Water shortage/drought, Erosion, Desertification, Ecosystem preservation, Protection of habitats, Hazards, Policy/planning, Freshwater resources management","Amazonia, Americas, Latin America and the Caribbean, North Atlantic, South America, South Atlantic",This Law enters into force on the day of publication.,ECOLEX_Legislation
Nature Conservation Act (No. 9 of 2023).,2023,Finland,"The purpose of this law is to: 1) safeguard biodiversity; 2) protect the beauty of nature and the value of landscape; 3) promote adaptation to climate change; 4) support the sustainable use of natural resources and the natural environment; 5) increase public awareness of nature and environmental consciousness; and 6) promote nature research. The Act applies to the protection and conservation of nature and the landscape. The Act mandates the Ministry of the Environment to develop the national strategy for biodiversity and the action program to implement the strategy. The national shall establish nationwide operational, quantitative, and temporal goals to halt the loss of biodiversity and improve the condition of biological diversity.",https://www.ecolex.org/details/legislation/nature-conservation-act-no-9-of-2023-lex-faoc222660/?type=legislation&xsubjects=Mineral+resources&page=70,"Environment gen., Forestry, Wild species & ecosystems, General",Legislation,"Cultural heritage, Indigenous peoples, Protection of environment, Climate change, Sustainable development, Research, Liability/compensation, Precautionary principle, Governance, Environmental planning, Policy/planning, Forestry protection measures, Forest management/forest conservation, Basic legislation, Biodiversity, Sustainable use, Protection of habitats, Wild fauna, Wild flora, Endangered species, Birds, Subsidy/incentive, Ecosystem preservation, Marine protected areas, Protected area, National parks, Protection of species, Trade in species, Access-to-information, Data collection/reporting, Offences/penalties, Enforcement/compliance","Arctic, Europe, Europe and Central Asia, European Union Countries, North-East Atlantic, Northern Europe",1 June 2023.,ECOLEX_Legislation
Ley N⁰ 2281 – Se crea el Ministerio de Igualdad y Equidad y se dictan otras disposiciones,2023,Colombia,"La presente Ley tiene por objeto, en el marco del artículo 150 numeral 7 de la Constitución Política y el artículo 50 de la Ley 489 de 1998, la creación del Ministerio de Igualdad y Equidad y la adopción de los elementos de su estructura orgánica. El Ministerio de Igualdad y Equidad tiene como· objeto, en el marco de los mandatos constitucionales, de la ley y de sus competencias, diseñar, formular, adoptar, dirigir, coordinar, articular, ejecutar fortalecer y evaluar, las políticas, planes, programas, estrategias, proyectos y medidas para contribuir en la eliminación de las desigualdades económicas, políticas y sociales; impulsar el goce del derecho a la igualdad; el cumplimiento de los principios de no discriminación y no regresividad; la defensa de los sujetos de especial protección constitucional, de población vulnerable y de grupos históricamente discriminados o marginados, incorporando y adoptando los enfoques de derechos, de género, diferencial, étnico-racial e interseccional. Se establecen las funciones del Ministerio de Igualdad y Equidad y el ámbito de competencias.",https://www.ecolex.org/details/legislation/ley-n0-2281-se-crea-el-ministerio-de-igualdad-y-equidad-y-se-dictan-otras-disposiciones-lex-faoc215814/?type=legislation&xsubjects=Mineral+resources&page=70,"Environment gen., Food & nutrition, General",Legislation,"Legal proceedings/administrative proceedings, Equity, Human rights, Indigenous peoples, Gender, Institution, Poverty, Youth, Social protection, Climate change, Food security, Nutrition","Amazonia, Americas, Andean States, East Pacific, Latin America and the Caribbean, North-East Pacific, South America, South-Eastern Pacific",,ECOLEX_Legislation
Rules for Trading Mining Rights.,2023,China,"These Rules are formulated to further standardize the behaviour of the transfer of mining rights, ensure the openness, fairness and justice of the transfer of mining rights, and safeguard the rights and interests of the state and the legitimate rights and interests of mining rights holders.",https://www.ecolex.org/details/legislation/rules-for-trading-mining-rights-lex-faoc214788/?type=legislation&xsubjects=Mineral+resources&page=70,Mineral resources,Regulation,"Access right, Exploration, Mining, Internal trade, Dispute settlement","Asia, Asia and the Pacific, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
Presidential Decree No. 1/23 approving the Statute of the Ministry of Economy and Planning.,2023,Angola,"This Presidential Decree approves the Statute of the Ministry of Planning. This Statute, consisting of 23 articles divided into four Chapters and two Annexes, establishes composition, duties and responsibilities of the above mentioned institution. The Ministry is the Ministerial Department responsible for national development planning, for formulating proposals and coordinating the implementation of public policies for the development of the national economy and for coordinating actions within the scope of economic integration, economic cooperation for development and international business. The Ministry has the following responsibilities: In the field of national development planning: a) Coordinate the formulation of public policy proposals for national development; b) Propose measures aimed at promoting harmonious economic development and ensuring balance between the different regions; c) Coordinating the elaboration of the main strategic options for national territorial planning and development, etc.",https://www.ecolex.org/details/legislation/presidential-decree-no-123-approving-the-statute-of-the-ministry-of-economy-and-planning-lex-faoc215100/?type=legislation&xsubjects=Mineral+resources&page=70,Environment gen.,Regulation,"Institution, Land-use planning, Legal proceedings/administrative proceedings, Environmental planning, Governance, Cooperative/producer organization, Sustainable development, Policy/planning","Africa, Central Africa, Least Developed Countries, South Atlantic",This Presidential Decree enters into force on the day of its publication.,ECOLEX_Legislation
"Presidential Decree No. 2/23 approving the Statute of Ministry of Social Action, Family and Promotion of Women (MASFAMU).",2023,Angola,"This Presidential Decree approves the Statute of Ministry of Social Protection, Family and Promotion of Women (MASFAMU). This Statute, consisting of 21 articles divided into four Chapters and three Annexes, establishes composition, duties and responsibilities of the above mentioned institution. MASFAMU has the mission of conceiving, proposing, promoting and executing social policy regarding vulnerable people, promoting the development of communities, including actions to combat poverty, as well as protecting family welfare, women's promotion and guarantee of their rights, promotion of gender equality and equity, coordination, monitoring and supervision of NGOs aimed at social protection. In particular, MASFAMU aims to perform the following activities: designing, proposing and implementing social protection policies related to the most vulnerable groups of the population, combating poverty, family well-being protection, promotion of both rural and urban women, development of communities and the guarantee of women's rights, gender equality and equity. In particular, it aims to define and propose specific policies and strategies in the field of social protection, and promote the formulation and implementation of integrated programmes for the protection, assistance and development of vulnerable groups, including gender equality and equity, etc.",https://www.ecolex.org/details/legislation/presidential-decree-no-223-approving-the-statute-of-ministry-of-social-action-family-and-promotion-of-women-masfamu-lex-faoc215112/?type=legislation&xsubjects=Mineral+resources&page=70,Agricultural & rural development,Regulation,"Institution, Gender, Social protection, Poverty, Legal proceedings/administrative proceedings, Equity, Governance, Public participation","Africa, Central Africa, Least Developed Countries, South Atlantic",This Presidential Decree enters into force on the day of its publication.,ECOLEX_Legislation
Order No. 8 of the Ministry of Health validating the Procedure for assessing risks associated with exposure to hazardous chemicals and validating Maximum biological values of chemicals.,2023,Ukraine,"This Order establishes minimum requirements for conducting an assessment of risks associated with exposure to hazardous chemical substances present at the workplace or arising in the process of handling chemicals. This Procedure applies to economic entities, regardless of their form of ownership, that carry out activities related to work with dangerous chemical substances. Maximum biological values of chemicals shall be intended the limit value of the concentration in the relevant biological environment of the relevant substance, the products of its metabolism, or the indicator of its action. Chemical substances that are used or formed at the workplace in the course of work and negatively affect the health of employees are subject to hygienic regulation, which is carried out in order to limit the intensity or duration of the action of such factors by establishing their permissible impact on human health. Risk assessment consists in systematically identifying hazards, determining the magnitude of risks, and taking measures necessary for the safety and health protection of employees. Risk assessment is carried out in stages, taking into account the previously identified hazards that arose during work. If these hazards cannot be completely eliminated, their risk to the health and safety of workers is assessed. Based on the risk assessment, the employer makes a decision to increase the level of safety.",https://www.ecolex.org/details/legislation/order-no-8-of-the-ministry-of-health-validating-the-procedure-for-assessing-risks-associated-with-exposure-to-hazardous-chemicals-and-validating-maximum-biological-values-of-chemicals-lex-faoc214349/?type=legislation&xsubjects=Mineral+resources&page=70,Environment gen.,Regulation,"Public health, Processing/handling, Hazardous substances, Risk assessment/management","Black Sea, CIS (Commonwealth of Independent States), Eastern Europe, Europe, Europe and Central Asia",This Order enters into force on the date of its official publication.,ECOLEX_Legislation
Law No. 187-VII “On amendments and addenda to the Civil Code on issues of strengthening administrative responsibility for environmental offenses and manifestations of vandalism.,2023,Kazakhstan,"Article 380-1 with the following wording shall be added to Civil Code: ""Article 380-1. Violation of the protection regime of protected natural areas 1. Violation of the protection regime of protection of protected natural areas, if this action does not contain signs of a criminally punishable act, entails a fine on individuals in the amount of ten, on officials, small businesses or non-profit organizations - in the amount of twenty, on medium-sized businesses - in the amount of thirty, on large businesses - in the amount of fifty monthly calculation indices. 2. The action envisaged by part one of this article, committed repeatedly within a year after the imposition of an administrative penalty, entails a fine on individuals in the amount of twenty, on officials, small businesses or non-profit organizations - in the amount of thirty, on medium-sized businesses - in the amount of forty, on large businesses - in the amount of one hundred monthly calculation indices.""; Article 709 shall be amended to add the following wording: “Article 709. Authorized bodies in the field of forestry, protection, reproduction and use of wildlife, protection, restoration and use of flora and protected natural areas shall be authorized to examine cases of administrative offenses and impose administrative penalties on behalf of the authorized bodies in the field of forestry, protection, reproduction and use of wildlife, protection, protection, restoration and use of flora and protected natural areas.”.",https://www.ecolex.org/details/legislation/law-no-187-vii-on-amendments-and-addenda-to-the-civil-code-on-issues-of-strengthening-administrative-responsibility-for-environmental-offenses-and-manifestations-of-vandalism-lex-faoc215536/?type=legislation&xsubjects=Mineral+resources&page=70,"Environment gen., Forestry, General",Legislation,"Access-to-justice, Offences/penalties, Legal proceedings/administrative proceedings, Protected area, Liability/compensation, Institution","Aral Sea, Asia, Caspian Sea, Central Asia, CIS (Commonwealth of Independent States), Europe and Central Asia, Landlocked Developing Nations, North Asia","This Law enters into force after sixty calendar days after the day of its first official publication, except for the third paragraph of subparagraph 24) of Article 1, which becomes effective from 1 January 2023.",ECOLEX_Legislation
Loi n° 2022-38 du 03 janvier 2023 fixant le régime des zones économiques spéciales en République du Bénin,2023,Benin,"La présente loi régit la création, la promotion, l'exploitation, l'administration, l'entretien et le développement des zones économiques spéciales au Bénin.",https://www.ecolex.org/details/legislation/loi-n-2022-38-du-03-janvier-2023-fixant-le-regime-des-zones-economiques-speciales-en-republique-du-benin-lex-faoc218267/?type=legislation&xsubjects=Mineral+resources&page=70,"Agricultural & rural development, Waste & hazardous substances, General",Legislation,"Business/industry/corporations, Liability/compensation, Enforcement/compliance, Cooperative/producer organization, Fiscal and market measures, Processing/handling, Internal trade, International trade, Transport/storage, Offences/penalties, Agricultural commodities, Agricultural development, Financial agricultural measures, Rural employment, Transboundary movement of waste","Africa, Least Developed Countries, North Atlantic, Western Africa",,ECOLEX_Legislation
Measures for Administration of Central Cotton Reserves Storage.,2023,China,"These Measures are developed  to strengthen the management of central cotton reserves, ensure that the central cotton reserve is authentic in quantity, good in quality, safe in storage and standardized in management.",https://www.ecolex.org/details/legislation/measures-for-administration-of-central-cotton-reserves-storage-lex-faoc214790/?type=legislation&xsubjects=Mineral+resources&page=71,Agricultural & rural development,Regulation,"Transport/storage, Agricultural commodities, Internal trade","Asia, Asia and the Pacific, East Asian Seas, Eastern Asia, North Pacific, North-West Pacific",,ECOLEX_Legislation
